Customer_ID,Customer_Name,Gender,Age,City,Account_No,Account_Type,Account_Balance,Transaction_ID,Transaction_Date,Transaction_Type,Transaction_Amount,Receiver_Account,Loan_ID,Loan_Amount,Amount_Paid,Credit_Score
C001,Felicia Cruz,F,26,Bengaluru,79240629,Savings,310709,T0001,2025-02-17,Withdrawal,100087,61275073.0,L0001,,,847
C002,Patricia Chung,M,24,Hyderabad,53821151,Current,70112,T0002,2024-09-06,Withdrawal,120164,,L0002,,,659
C003,Michael Hunter,F,56,Chennai,12813278,Savings,289111,T0003,2024-12-18,Transfer,144544,39403932.0,L0003,475523.0,104408.0,798
C004,Nathaniel Todd PhD,M,34,Mumbai,36682828,Current,211277,T0004,2024-07-07,Transfer,131875,,,,,728
C005,John Moody,F,38,Delhi,98865124,Current,447866,T0005,2025-04-26,Transfer,172830,35603562.0,,,,717
C006,Ricardo Adams,M,38,Chennai,81593187,Current,470238,T0006,2024-09-06,Withdrawal,153705,,L0006,,,739
C007,Mike Spencer,F,63,Delhi,51291093,Current,110227,T0007,2025-08-22,Deposit,57037,,L0007,,,725
C008,Christina Hernandez,M,28,Delhi,46030183,Current,167128,T0008,2024-12-06,Withdrawal,91063,73100056.0,L0008,123723.0,4946.0,697
C009,Danielle Walker,F,55,Bengaluru,22737194,Savings,46867,T0009,2024-09-30,Withdrawal,126047,,,,,656
C010,Allen Goodman,M,63,Ahmedabad,78195850,Current,145739,T0010,2025-02-21,Deposit,137714,40828272.0,L0010,,,650
C011,Jacob Chavez,M,54,Chennai,92493329,Current,28906,T0011,2024-12-23,Withdrawal,158246,,,286559.0,173820.0,603
C012,Tracy Williams,F,48,Bengaluru,78712804,Savings,304267,T0012,2025-03-13,Transfer,37995,54151529.0,,,,738
C013,Patrick Mcdowell,F,25,Bengaluru,33607664,Savings,116832,T0013,2024-11-05,Withdrawal,68018,,,,,762
C014,Kari Bradshaw,M,38,Bengaluru,91856131,Current,16742,T0014,2024-05-17,Transfer,95675,,L0014,948481.0,438375.0,807
C015,Robert Morales,F,27,Bengaluru,84521504,Current,26689,T0015,2024-07-24,Withdrawal,192869,69882637.0,,859892.0,766880.0,767
C016,Brittney Wells,F,32,Hyderabad,98699206,Current,327973,T0016,2024-10-18,Withdrawal,181547,14371821.0,,976268.0,39429.0,841
C017,Thomas Huang,M,27,Ahmedabad,76090830,Current,464379,T0017,2024-10-26,Deposit,178248,,L0017,637206.0,167944.0,764
C018,Jennifer Escobar,F,30,Chennai,39468027,Savings,292724,T0018,2024-04-12,Transfer,152307,94032929.0,L0018,101828.0,45022.0,703
